LEVEL;UPGRADE COST;PROFIT
1;$50;$25
2;$60;$31
3;$72;$39
4;$86;$49
5;$104;$61
6;$124;$76
7;$149;$95
8;$179;$119
9;$215;$149
10;$258;$186
11;$310;$233
12;$372;$291
13;$446;$364
14;$535;$455
15;$642;$568
16;$770;$711
17;$924;$888
18;$1109;$1110
19;$1331;$1388
20;$1597;$1735
21;$1917;$2168
22;$2300;$2711
23;$2760;$3388
24;$3312;$4235
25;$3975;$5294
26;$4770;$6617
27;$5724;$8272
28;$6869;$10340
29;$8242;$12925
30;$9891;$16156
31;$11869;$20195
32;$14243;$25244
33;$17091;$31554
34;$20509;$39443
35;$24611;$49304
36;$29533;$61630
37;$35440;$77037
38;$42528;$96296
39;$51034;$120371
40;$61240;$150463
41;$73489;$188079
42;$88186;$235099
43;$105824;$293874
44;$126988;$367342
45;$152386;$459177
46;$182863;$573972
47;$219436;$717465
48;$263323;$896831
49;$315987;$1121039
50;$379185;$1401298
